Number Flocks;Length;Grid;Time;Flocks
20;16;1;8;16
20;16;1.1;11;43
20;16;1.2;11;44
20;16;1.3;13;33
20;16;1.4;14;42
20;16;1.5;16;58
20;18;0.8;6;0
20;18;0.9;5;0
20;18;1;8;6
20;18;1.1;10;14
20;18;1.2;11;18
20;18;1.3;14;22
20;18;1.4;13;21
20;18;1.5;15;28
20;20;0.8;5;0
20;20;0.9;6;0
20;20;1;8;2
20;20;1.1;10;4
20;20;1.2;11;5
20;20;1.3;14;12
20;20;1.4;13;11
20;20;1.5;16;14
