Number Flocks;Length;Grid;Time;Flocks
18;6;1.4;13;984
18;6;1.5;15;1052
18;8;0.8;5;251
18;8;0.9;5;273
18;8;1;8;349
18;8;1.1;10;441
18;8;1.2;10;697
18;8;1.3;13;628
18;8;1.4;13;735
18;8;1.5;15;774
18;10;0.8;5;167
18;10;0.9;5;172
18;10;1;8;207
18;10;1.1;10;281
18;10;1.2;10;482
18;10;1.3;13;435
18;10;1.4;13;542
18;10;1.5;15;555
18;12;0.8;5;144
18;12;0.9;5;124
18;12;1;7;147
18;12;1.1;10;160
18;12;1.2;11;213
18;12;1.3;13;274
18;12;1.4;13;336
18;12;1.5;15;346
18;14;0.8;5;46
18;14;0.9;5;78
18;14;1;8;103
18;14;1.1;10;127
18;14;1.2;11;147
18;14;1.3;13;140
18;14;1.4;13;185
18;14;1.5;15;215
18;16;0.8;5;13
18;16;0.9;5;40
18;16;1;8;47
18;16;1.1;10;81
18;16;1.2;11;84
18;16;1.3;13;76
18;16;1.4;13;99
18;16;1.5;15;113
18;18;0.8;5;6
18;18;0.9;5;28
18;18;1;7;30
18;18;1.1;10;44
18;18;1.2;10;53
18;18;1.3;13;53
18;18;1.4;13;58
18;18;1.5;15;65
18;20;0.8;5;1
18;20;0.9;5;11
18;20;1;8;24
18;20;1.1;10;27
18;20;1.2;11;42
18;20;1.3;13;39
18;20;1.4;13;41
18;20;1.5;15;44
20;4;0.8;4;370
20;4;0.9;4;410
20;4;1;6;500
20;4;1.1;8;663
20;4;1.2;9;924
20;4;1.3;11;897
20;4;1.4;11;970
20;4;1.5;12;1121
20;6;0.8;5;249
20;6;0.9;5;293
20;6;1;7;369
20;6;1.1;8;465
20;6;1.2;9;750
20;6;1.3;11;632
20;6;1.4;11;702
20;6;1.5;13;741
20;8;0.8;5;160
20;8;0.9;4;201
20;8;1;7;258
20;8;1.1;8;322
20;8;1.2;9;538
20;8;1.3;11;441
20;8;1.4;11;510
20;8;1.5;13;565
20;10;0.8;5;103
20;10;0.9;5;112
20;10;1;6;142
20;10;1.1;9;192
20;10;1.2;9;309
20;10;1.3;11;317
20;10;1.4;11;355
20;10;1.5;13;372
20;12;0.8;5;94
20;12;0.9;5;72
20;12;1;7;105
20;12;1.1;8;104
20;12;1.2;9;149
20;12;1.3;11;172
20;12;1.4;11;203
20;12;1.5;13;232
20;14;0.8;5;7
20;14;0.9;5;35
20;14;1;7;70
20;14;1.1;8;82
20;14;1.2;9;93
20;14;1.3;11;60
20;14;1.4;11;90
20;14;1.5;13;133
20;16;0.8;5;0
20;16;0.9;5;3
20;16;1;7;16
20;16;1.1;8;43
20;16;1.2;9;44
20;16;1.3;11;33
20;16;1.4;11;42
20;16;1.5;13;58
20;18;0.8;5;0
20;18;0.9;4;0
20;18;1;7;6
20;18;1.1;8;14
20;18;1.2;9;18
20;18;1.3;11;22
20;18;1.4;11;21
20;18;1.5;13;28
20;20;0.8;5;0
20;20;0.9;5;0
20;20;1;7;2
20;20;1.1;9;4
20;20;1.2;9;5
20;20;1.3;11;12
20;20;1.4;11;11
20;20;1.5;13;14
